"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.984047940E-1,2.663158812E-4,1.171789877E-2,2.130527049E-3
8.009180230E-1,7.723160554E-3,1.704421639E-2,2.130527049E-3
8.034312520E-1,1.198421419E-2,1.491368935E-2,6.391581148E-3
8.059444820E-1,1.091895066E-2,2.024000697E-2,5.326317623E-3
8.084577630E-1,9.853687137E-3,1.917474344E-2,6.391581148E-3
8.109709920E-1,1.624526829E-2,2.130527049E-2,8.522108197E-3
8.134842210E-1,1.731053181E-2,2.237053402E-2,9.587371722E-3
8.159974500E-1,1.518000476E-2,2.556632459E-2,9.587371722E-3
8.185106790E-1,1.944105886E-2,2.876211517E-2,9.587371722E-3
8.210239090E-1,1.518000476E-2,2.769685164E-2,1.278316230E-2
8.235371380E-1,1.304947771E-2,2.769685164E-2,1.597895287E-2
8.260503670E-1,1.304947771E-2,2.769685164E-2,1.597895287E-2
8.285635960E-1,4.527369980E-3,2.237053402E-2,1.810947992E-2
8.310768770E-1,3.462106455E-3,2.237053402E-2,1.597895287E-2
8.335901070E-1,-7.989476435E-4,2.130527049E-2,1.810947992E-2
8.361033360E-1,-1.038631983E-2,1.704421639E-2,1.917474344E-2
8.386165650E-1,-1.677790098E-2,1.597895287E-2,2.237053402E-2
8.411297940E-1,-2.530000918E-2,1.491368935E-2,2.237053402E-2
8.436430230E-1,-2.956106327E-2,9.587371722E-3,2.450106107E-2
8.461562520E-1,-3.808316961E-2,8.522108197E-3,2.769685164E-2
8.486694820E-1,-4.767054319E-2,8.522108197E-3,2.663158812E-2
8.511827110E-1,-5.086633191E-2,5.326317623E-3,2.343579754E-2
8.536959400E-1,-5.725791305E-2,4.261054099E-3,2.556632459E-2
8.562092210E-1,-6.045370549E-2,2.130527049E-3,2.769685164E-2
8.587224500E-1,-6.258422881E-2,-2.130527049E-3,2.450106107E-2
8.612356790E-1,-6.258422881E-2,-2.130527049E-3,2.237053402E-2
8.637489090E-1,-6.045370549E-2,-2.130527049E-3,2.556632459E-2
8.662621380E-1,-6.045370549E-2,-6.391581148E-3,2.556632459E-2
8.687753670E-1,-6.364949793E-2,-5.326317623E-3,2.343579754E-2
8.712885960E-1,-6.151896715E-2,-5.326317623E-3,2.450106107E-2
8.738018250E-1,-5.406212434E-2,-3.195790574E-3,2.450106107E-2
8.763150540E-1,-4.980107024E-2,-5.326317623E-3,2.663158812E-2
8.788282840E-1,-4.447475076E-2,-3.195790574E-3,3.089264221E-2
8.813415650E-1,-3.595264256E-2,-1.065263525E-3,3.089264221E-2
8.838547940E-1,-3.275685385E-2,-5.326317623E-3,2.769685164E-2
8.863680230E-1,-2.516685054E-2,-2.130527049E-3,3.089264221E-2
8.888812520E-1,-1.771000586E-2,-2.130527049E-3,3.089264221E-2
8.913944820E-1,-1.238368824E-2,4.261054099E-3,3.195790574E-2
8.939077110E-1,-8.122634143E-3,7.456844673E-3,3.515369445E-2
8.964209400E-1,-1.731053228E-3,6.391581148E-3,3.621895984E-2
8.989341690E-1,3.994738217E-4,8.522108197E-3,3.621895984E-2
9.014473980E-1,2.530000871E-3,9.587371722E-3,3.834948689E-2
9.039606270E-1,1.464737346E-3,1.597895287E-2,4.048001394E-2
9.064739090E-1,3.994738217E-4,1.704421639E-2,3.941474855E-2
9.089871380E-1,2.530000871E-3,1.704421639E-2,4.154527932E-2
9.115003670E-1,3.994738217E-4,1.491368935E-2,4.367580265E-2
9.140135960E-1,-6.657897029E-4,1.917474344E-2,4.261054099E-2
9.165268250E-1,1.464737346E-3,1.917474344E-2,4.154527932E-2
9.190400540E-1,-2.796316752E-3,1.704421639E-2,3.834948689E-2
9.215532840E-1,-2.796316752E-3,1.597895287E-2,4.154527932E-2
9.240665130E-1,-4.926843569E-3,1.384842582E-2,4.048001394E-2
9.265797420E-1,-9.187897667E-3,1.065263525E-2,3.834948689E-2
9.290930230E-1,-1.238368824E-2,9.587371722E-3,3.834948689E-2
9.316062520E-1,-1.451421529E-2,7.456844673E-3,3.515369445E-2
9.341194820E-1,-1.451421529E-2,7.456844673E-3,3.834948689E-2
